,Player,Pos,gameweek,pWAS,ww_pWAS,WAR
20,Dennis Praet,M,2,0.07286666666666668,-0.06176666666666667,0.13463333333333335
15,Danny Ings,F,2,0.04231666666666667,-0.09125,0.13356666666666667
27,Jimmy Dunne,D,2,0.0986833333333333,-0.02946666666666668,0.12815
22,Andros Townsend,M,2,0.06604999999999998,-0.06176666666666667,0.12781666666666666
21,Phil Foden,M,2,0.0652,-0.06176666666666667,0.12696666666666667
25,Dani Ceballos,M,2,0.05239999999999997,-0.06176666666666667,0.11416666666666664
26,Grady Diangana,M,2,0.05231666666666664,-0.06176666666666667,0.11408333333333331
24,Leandro Trossard,M,2,0.05229999999999998,-0.06176666666666667,0.11406666666666665
35,James Justin,D,2,0.07493333333333334,-0.02946666666666668,0.10440000000000002
36,Kenny Tete,D,2,0.07436666666666665,-0.02946666666666668,0.10383333333333333
37,Trent Alexander-Arnold,D,2,0.07225000000000004,-0.02946666666666668,0.10171666666666672
39,Charlie Taylor,D,2,0.07186666666666668,-0.02946666666666668,0.10133333333333336
42,Lucas Digne,D,2,0.07128333333333332,-0.02946666666666668,0.10075
