,Player,Pos,season_WAR,avg_ww_pWAS,avg_pWAS,games_played
182,Jordan Henderson,M,0.19281666666666666,-0.034303703703703704,-0.012879629629629635,9
284,Raheem Sterling,F,0.19074999999999998,-0.04516515151515152,-0.02782424242424242,11
349,Victor Lindelof,D,0.19051666666666672,-0.030415277777777777,-0.014538888888888886,12
66,Conor Hourihane,M,0.18856666666666663,-0.056827777777777776,0.006027777777777771,3
216,Marc Albrighton,M,0.18716666666666668,-0.045470000000000003,-0.008036666666666668,5
268,Oriol Romeu,M,0.18063333333333342,-0.037193589743589744,-0.023298717948717945,13
280,Phil Foden,M,0.1726666666666667,-0.04097333333333333,-0.006439999999999994,5
345,Trent Alexander-Arnold,D,0.17046666666666677,-0.030353030303030302,-0.0148560606060606,11
13,Alex Iwobi,M,0.16436666666666666,-0.036569444444444446,-0.009175000000000004,6
2,Aaron Wan-Bissaka,D,0.16273333333333342,-0.02991666666666667,-0.01635555555555555,12
71,Dani Ceballos,M,0.15658333333333338,-0.035810416666666664,-0.0162375,8
12,Aleksandar Mitrovic,F,0.1556333333333333,-0.04781041666666667,-0.02835625,8
240,Michael Keane,D,0.15538333333333343,-0.03049642857142857,-0.01939761904761905,14
90,Dwight McNeil,M,0.15526666666666664,-0.0415423076923077,-0.02959871794871795,13
41,Bernard,M,0.15298333333333336,-0.03265000000000001,0.12033333333333333,1
191,Kalvin Phillips,M,0.15275000000000008,-0.03827833333333334,-0.023003333333333327,10
330,Tanguy Ndombele,M,0.14986666666666668,-0.03929583333333334,-0.020562500000000004,8
359,Youri Tielemans,M,0.14730000000000004,-0.038948809523809524,-0.028427380952380954,14
277,Paul Pogba,M,0.14605000000000004,-0.04743809523809524,-0.02657380952380952,7
286,Raul Jimenez,F,0.14211666666666659,-0.05103148148148148,-0.03524074074074075,9
266,Olivier Giroud,F,0.14100000000000001,-0.038111111111111116,0.008888888888888878,3
294,Robbie Brady,M,0.13981666666666667,-0.035050000000000005,-0.007086666666666663,5
187,Josh Brownhill,M,0.1368666666666668,-0.04069305555555556,-0.029287499999999994,12
24,Angelo Ogbonna,D,0.12566666666666665,-0.03049642857142857,-0.0215202380952381,14
100,Ethan Ampadu,D,0.12293333333333337,-0.038059523809523814,-0.020497619047619042,7
231,Matt Phillips,M,0.12218333333333337,-0.03565,-0.00510416666666666,4
111,Filip Krovinovic,M,0.11970000000000003,-0.03931333333333333,-0.015373333333333333,5
62,Christian Pulisic,M,0.11473333333333333,-0.026729166666666665,0.001954166666666664,4
205,Leander Dendoncker,M,0.11423333333333342,-0.03798,-0.026556666666666662,10
204,Kyle Walker-Peters,D,0.1141666666666667,-0.03049642857142857,-0.02234166666666667,14
254,Nathaniel Phillips,D,0.11350000000000002,-0.026366666666666684,0.030383333333333328,2
96,Eric Dier,D,0.11328333333333337,-0.029615384615384616,-0.02090128205128205,13
67,Conor Townsend,D,0.11251666666666671,-0.025454166666666674,-0.011389583333333331,8
213,Luke Shaw,D,0.10666666666666674,-0.032342592592592596,-0.02049074074074074,9
195,Kenny Tete,D,0.10383333333333333,-0.02946666666666668,0.07436666666666665,1
7,Adama Traore,F,0.10001666666666664,-0.043871428571428575,-0.02958333333333333,7
162,Jimmy Dunne,D,0.09851666666666667,-0.01434166666666668,0.03491666666666665,2
308,Ryan Fredericks,D,0.09595000000000001,-0.033975000000000005,0.014000000000000002,2
33,Ayoze Perez,M,0.09391666666666669,-0.04009722222222222,-0.02444444444444445,6
99,Erik Pieters,D,0.09273333333333333,-0.04195000000000001,0.050783333333333326,1
307,Ryan Fraser,M,0.08968333333333338,-0.015925000000000005,0.028916666666666688,2
10,Ahmed Hegazi,D,0.08698333333333334,-0.04195000000000001,0.045033333333333335,1
85,Dennis Praet,M,0.08656666666666671,-0.040697619047619045,-0.028330952380952373,7
270,Pablo Fornals,M,0.08581666666666661,-0.04129871794871795,-0.0346974358974359,13
227,Mateo Kovacic,M,0.08126666666666672,-0.04138000000000001,-0.025126666666666665,5
130,Helder Costa,F,0.08036666666666666,-0.05748333333333334,-0.04600238095238096,7
142,Jairo Riedewald,M,0.07935000000000005,-0.03719666666666667,-0.02132666666666666,5
83,Declan Rice,M,0.07798333333333336,-0.038948809523809524,-0.03337857142857143,14
166,Joe Bryan,D,0.07751666666666668,-0.02266250000000001,-0.0032833333333333404,4
315,Seamus Coleman,D,0.07638333333333339,-0.01592916666666667,0.00316666666666667,4
76,Danny Welbeck,F,0.07581666666666664,-0.031066666666666663,-0.018430555555555565,6
357,Willy Boly,D,0.07576666666666672,-0.02682638888888889,-0.0205125,12
235,Matthew Lowton,D,0.07471666666666675,-0.03270555555555556,-0.0244037037037037,9
312,Scott Dann,D,0.07271666666666671,-0.025969047619047624,-0.015580952380952378,7
340,Toby Alderweireld,D,0.07168333333333338,-0.03901999999999999,-0.03185166666666666,10
224,Mason Holgate,D,0.07138333333333335,-0.01809666666666667,-0.0038200000000000083,5
15,Alexandre Lacazette,F,0.07048333333333329,-0.045977083333333335,-0.03716666666666667,8
73,Daniel James,M,0.06956666666666664,-0.03753333333333332,-0.0027500000000000094,2
54,Cesar Azpilicueta,D,0.06783333333333336,-0.03752916666666667,-0.020570833333333337,4
243,Miguel Almiron,M,0.06738333333333338,-0.0438404761904762,-0.03421428571428572,7
189,Juan Mata,M,0.06393333333333341,-0.03148888888888889,-0.010177777777777758,3
114,Gabriel Magalhaes,D,0.06376666666666671,-0.03085694444444444,-0.025543055555555555,12
109,Fernandinho,D,0.06111666666666667,-0.038525000000000004,-0.007966666666666669,2
103,Fabian Balbuena,D,0.05921666666666668,-0.0322439393939394,-0.02686060606060606,11
238,Maximilian Kilman,D,0.057683333333333364,-0.03961190476190476,-0.03137142857142857,7
31,Ashley Westwood,M,0.05741666666666667,-0.0415423076923077,-0.037125641025641025,13
27,Antonio Rudiger,D,0.056900000000000006,-0.06246666666666667,-0.005566666666666664,1
167,Joe Rodon,D,0.056633333333333355,0.015416666666666634,0.07204999999999999,1
333,Thiago,M,0.05501666666666664,-0.03673333333333332,0.018283333333333318,1
290,Rhys Williams,D,0.05291666666666667,-0.0043166666666666536,0.04860000000000001,1
335,Thomas Partey,M,0.05195000000000004,-0.04575833333333334,-0.01978333333333332,2
11,Ainsley Maitland-Niles,M,0.051216666666666674,-0.0272375,-0.014433333333333336,4
259,Nemanja Matic,M,0.05010000000000002,-0.03555,-0.023024999999999997,4
256,Neco Williams,D,0.0464,-0.04601666666666667,0.00038333333333332814,1
190,Kai Havertz,M,0.04219999999999999,-0.03730185185185185,-0.03261296296296297,9
297,Rodrigo,M,0.040850000000000046,-0.04069305555555556,-0.037288888888888885,12
210,Lucas Moura,M,0.036899999999999974,-0.04132777777777778,-0.029027777777777788,3
